Bệnh,Thuốc
"Rối loạn hoảng sợ,""['Thuốc SSRI (ví dụ: Sertraline, Fluoxetine)', 'Thuốc Benzodiazepine (ví dụ: Clonazepam, Alprazolam)', 'Thuốc SNRI (ví dụ: Venlafaxine)', 'Thuốc chẹn beta', 'Liệu pháp nhận thức hành vi (CBT)']"""
"Thoái hóa cột sống,""['Thuốc kháng viêm không steroid (ví dụ: Naproxen)', 'Thuốc giãn cơ', 'Vật lý trị liệu', 'Tiêm steroid ngoài màng cứng', 'Phẫu thuật trong trường hợp nặng']"""
"Chấn thương cánh tay,""['Thuốc giảm đau (ví dụ: Acetaminophen)', 'Chườm lạnh', 'Cố định/nẹp', 'Thuốc kháng sinh (nếu vết thương hở)', 'Vật lý trị liệu']"""
"Hội chứng đau vùng phức hợp,""['Gabapentin', 'Amitriptyline', 'Vật lý trị liệu', 'Corticosteroid', 'Phong bế thần kinh']"""
"Chấn thương vùng thân,""['Thuốc giảm đau (ví dụ: Ibuprofen)', 'Liệu pháp chườm đá/nhiệt', 'Thuốc giãn cơ', 'Chăm sóc vết thương (nếu là vết thương ngoài da)', 'Vật lý trị liệu']"""
"Đau âm hộ,""['Lidocaine bôi ngoài da', 'Thuốc chống trầm cảm ba vòng (ví dụ: Amitriptyline)', 'Gabapentin', 'Vật lý trị liệu', 'Liệu pháp nhận thức hành vi']"""
"Chấn động não,""['Nghỉ ngơi', 'Acetaminophen (tránh dùng NSAID trong giai đoạn đầu)', 'Nghỉ ngơi về mặt nhận thức', 'Bù nước', 'Quay trở lại các hoạt động dần dần']"""
"Hạ đường huyết,""['Viên glucose', 'Nước ép hoặc đồ ăn nhẹ có đường', 'Tiêm glucagon (cấp cứu)', 'Điều chỉnh liều insulin hoặc thuốc điều trị tiểu đường', 'Ăn nhiều bữa nhỏ']"""
"Thoát vị hoành,""['Thuốc kháng axit', 'Thuốc ức chế bơm proton (ví dụ: Omeprazole)', 'Thuốc chẹn H2 (ví dụ: Ranitidine)', 'Thuốc tăng nhu động ruột', 'Phẫu thuật (trong trường hợp nặng)']"""
"Dị ứng,""['Thuốc kháng histamine (ví dụ: Loratadine)', 'Thuốc thông mũi (ví dụ: Pseudoephedrine)', 'Ống tiêm tự động Epinephrine', 'Corticosteroid', 'Liệu pháp miễn dịch (tiêm phòng dị ứng)']"""
"Co thắt phế quản cấp tính,""['Thuốc chủ vận beta tác dụng ngắn (ví dụ: Albuterol)', 'Thuốc kháng cholinergic', 'Corticosteroid toàn thân', 'Liệu pháp oxy', 'Magie sulfat (trong trường hợp nặng)']"""
"Bệnh thoái hóa đĩa đệm,""['Thuốc kháng viêm không steroid', 'Vật lý trị liệu', 'Thuốc giãn cơ', 'Tiêm steroid', 'Phẫu thuật (ví dụ: phẫu thuật hợp nhất cột sống trong trường hợp nặng)']"""
"Đau sau phẫu thuật,""['Acetaminophen', 'Thuốc giảm đau opioid (ví dụ: Morphine, Tramadol)', 'Thuốc kháng viêm không steroid (NSAID)', 'Thuốc gây tê tại chỗ', 'Phong bế thần kinh']"""
"Chấn thương ở chân,""['Thuốc giảm đau', 'Băng ép', 'Nạng hoặc nẹp', 'Vật lý trị liệu', 'Thuốc kháng sinh (nếu vết thương hở)']"""
"Bệnh gout,""['Colchicine', 'Thuốc kháng viêm không steroid (ví dụ: Indomethacin)', 'Allopurinol', 'Febuxostat', 'Corticosteroid']"""
"Viêm tai giữa,""['Amoxicillin', 'Cefdinir', 'Acetaminophen để giảm đau', 'Thuốc thông mũi', 'Mở thông màng nhĩ (nếu tái phát)']"""
"Tổn thương thận cấp tính,""['Truyền dịch tĩnh mạch', 'Thuốc lợi tiểu (ví dụ: Furosemide)', 'Điều chỉnh điện giải', 'Ngừng sử dụng thuốc gây độc cho thận', 'Lọc máu (nếu nặng)']"""
"Dọa sẩy thai,""['Bổ sung progesterone', 'Axit folic', 'Nghỉ ngơi tại giường (sử dụng hạn chế)', 'Truyền dịch tĩnh mạch (nếu bị mất nước)', 'Theo dõi chặt chẽ bằng siêu âm']"""
"Bệnh về nướu,""['Nước súc miệng kháng khuẩn (ví dụ: Chlorhexidine)', 'Cạo vôi răng và làm sạch chân răng', 'Doxycycline', 'Kem đánh răng có fluoride', 'Các biện pháp can thiệp phẫu thuật (nếu nghiêm trọng)']"""
"Xuất huyết đường tiêu hóa,""['Thuốc ức chế bơm proton đường tĩnh mạch (ví dụ: Pantoprazole)', 'Cầm máu nội soi', 'Truyền máu', 'Octreotide (để cầm máu do giãn tĩnh mạch)', 'Thuốc kháng sinh (ví dụ: Ceftriaxone) nếu có xơ gan']"""
"Rối loạn lo âu,""['Thuốc SSRI (ví dụ: Escitalopram)', 'Thuốc SNRI (ví dụ: Duloxetine)', 'Thuốc Benzodiazepine (sử dụng ngắn hạn)', 'Buspirone', 'Liệu pháp nhận thức hành vi (CBT)']"""
"Viêm kết mạc do dị ứng,""['Thuốc nhỏ mắt kháng histamine (ví dụ: Olopatadine)', 'Thuốc ổn định tế bào mast (ví dụ: Ketotifen)', 'Nước mắt nhân tạo', 'Thuốc kháng histamine đường uống', 'Chườm lạnh']"""
"Phản ứng thuốc,""['Ngừng sử dụng thuốc gây kích ứng', 'Thuốc kháng histamine (ví dụ: Diphenhydramine)', 'Corticosteroid', 'Epinephrine (đối với sốc phản vệ)', 'Truyền dịch tĩnh mạch và chăm sóc hỗ trợ']"""
"Thoái hóa điểm vàng,""['Tiêm thuốc kháng VEGF (ví dụ: Ranibizumab, Aflibercept)', 'Bổ sung vitamin AREDS2', 'Liệu pháp quang động', 'Liệu pháp laser (hiếm khi)', 'Thiết bị hỗ trợ thị lực kém']"""
"Viêm phổi,""['Thuốc kháng sinh (ví dụ: Azithromycin, Ceftriaxone)', 'Thuốc kháng virus (ví dụ: Oseltamivir nếu nhiễm virus)', 'Thuốc long đờm', 'Thuốc hạ sốt (ví dụ: Acetaminophen)', 'Liệu pháp oxy nếu cần']"""
"U nang âm đạo,""['Chườm ấm', 'Ngâm hậu môn', 'Thuốc kháng sinh (nếu bị nhiễm trùng)', 'Dẫn lưu bằng phẫu thuật (nếu vết thương lớn hoặc tái phát)', 'Thuốc giảm đau']"""
"Hội chứng ống cổ tay,""['Nẹp cổ tay', 'Thuốc chống viêm không steroid', 'Tiêm corticosteroid', 'Gabapentin (nếu đau dây thần kinh)', 'Phẫu thuật giải áp (nếu nặng)']"""
"Rối loạn mũi,""['Thuốc thông mũi (ví dụ: Oxymetazoline)', 'Thuốc kháng histamine', 'Thuốc xịt mũi nước muối sinh lý', 'Thuốc corticosteroid dùng đường mũi', 'Thuốc kháng sinh (nếu bị nhiễm khuẩn)']"""
"Sâu răng,""['Kem đánh răng hoặc gel chứa fluoride', 'Trám răng', 'Nước súc miệng Chlorhexidine', 'Thuốc giảm đau', 'Điều trị tủy răng (nếu nặng)']"""
"Bệnh tim do tăng huyết áp,""['Thuốc ức chế ACE (ví dụ: Lisinopril)', 'Thuốc chẹn beta (ví dụ: Metoprolol)', 'Thuốc lợi tiểu (ví dụ: Furosemide)', 'Thuốc chẹn kênh canxi (ví dụ: Amlodipine)', 'Thay đổi lối sống']"""
"Dị ứng theo mùa (sốt cỏ khô),""['Thuốc kháng histamine đường uống (ví dụ: Cetirizine)', 'Corticosteroid dùng đường mũi (ví dụ: Fluticasone)', 'Thuốc đối kháng thụ thể leukotriene (ví dụ: Montelukast)', 'Rửa mũi bằng dung dịch muối sinh lý', 'Liệu pháp miễn dịch dị ứng']"""
"Nhiễm nấm tóc,""['Griseofulvin (dạng uống)', 'Terbinafine (dạng uống)', 'Dầu gội Ketoconazole', 'Dầu gội Selenium sulfide', 'Itraconazole']"""
"Rối loạn trực tràng,""['Thuốc đặt hậu môn Hydrocortisone', 'Thuốc nhuận tràng (ví dụ: Lactulose)', 'Thuốc bổ sung chất xơ', 'Ngâm hậu môn trong bồn tắm', 'Can thiệp phẫu thuật (ví dụ: cắt trĩ nếu cần)']"""
"Mụn lẹo,""['Chườm ấm', 'Thuốc mỡ kháng sinh bôi ngoài da (ví dụ: Erythromycin)', 'Thuốc kháng sinh đường uống (nếu lan rộng)', 'Thuốc giảm đau', 'Rạch và dẫn lưu (nếu hình thành áp xe)']"""
"Đau tim,""['Aspirin', 'Nitroglycerin', 'Thuốc chẹn beta (ví dụ: Metoprolol)', 'Thuốc ức chế ACE', 'Thuốc tiêu huyết khối hoặc PCI (can thiệp mạch vành qua da)']"""
"Ngưng thở khi ngủ do tắc nghẽn đường thở (OSA),""['CPAP (Máy thở áp lực dương liên tục)', 'Giảm cân', 'Thiết bị đẩy hàm dưới ra trước', 'Modafinil (để giảm buồn ngủ còn sót lại)', 'Phẫu thuật (ví dụ: UPPP, nếu cần)']"""
"Bệnh vẩy nến,""['Corticosteroid bôi ngoài da', 'Các chất tương tự Vitamin D (ví dụ: Calcipotriol)', 'Methotrexate', 'Thuốc sinh học (ví dụ: Adalimumab)', 'Liệu pháp quang trị liệu (UVB)']"""
"Viêm khớp háng,""['Thuốc kháng viêm không steroid', 'Tiêm corticosteroid', 'Vật lý trị liệu', 'Thuốc bổ sung Glucosamine', 'Phẫu thuật thay khớp háng (trong trường hợp nặng)']"""
"Khủng hoảng hồng cầu hình liềm,""['Hydroxyurea', 'Axit folic', 'Giảm đau (ví dụ: Morphine)', 'Dịch truyền tĩnh mạch', 'Truyền máu (nếu cần)']"""
"Viêm tai ngoài,""['Thuốc nhỏ tai kháng sinh tại chỗ (ví dụ: Ciprofloxacin + Hydrocortisone)', 'Thuốc nhỏ tai có tính axit (ví dụ: Axit axetic)', 'Thuốc giảm đau', 'Bấc thấm tai cho các trường hợp nhiễm trùng sâu', 'Tránh tiếp xúc với nước']"""
"Viêm tiểu phế quản cấp tính,""['Chăm sóc hỗ trợ', 'Hút dịch mũi', 'Xông khí dung nước muối sinh lý', 'Liệu pháp oxy (nếu thiếu oxy)', 'Thuốc hạ sốt (ví dụ: Paracetamol)']"""
"Nhiễm trùng da mủ,""['Thuốc kháng sinh đường uống (ví dụ: Cephalexin, Clindamycin)', 'Thuốc kháng sinh bôi ngoài da (ví dụ: Mupirocin)', 'Rạch và dẫn lưu', 'Làm sạch bằng chất sát trùng', 'Kiểm soát cơn đau']"""
"Viêm dạ dày ruột không do nhiễm trùng,""['Thuốc chống nôn (ví dụ: Ondansetron)', 'Thuốc chống co thắt (ví dụ: Dicyclomine)', 'Probiotics', 'Liệu pháp bù nước', 'Thay đổi chế độ ăn uống (chế độ ăn BRAT)']"""
"Tăng sản tuyến tiền liệt lành tính (BPH),""['Thuốc chẹn alpha (ví dụ: Tamsulosin)', 'Thuốc ức chế 5-alpha reductase (ví dụ: Finasteride)', 'Tadalafil (để điều trị triệu chứng)', 'Các lựa chọn phẫu thuật (ví dụ: TURP)', 'Thay đổi lối sống']"""
"Hẹp ống sống,""['Thuốc kháng viêm không steroid', 'Vật lý trị liệu', 'Tiêm steroid ngoài màng cứng', 'Gabapentin hoặc Pregabalin', 'Phẫu thuật giải nén (ví dụ: cắt bỏ màng cứng)']"""
"Viêm phế quản cấp tính,""['Thuốc giảm ho (ví dụ: Dextromethorphan)', 'Thuốc long đờm (ví dụ: Guaifenesin)', 'Thuốc giãn phế quản (nếu bị khò khè)', 'Thuốc kháng viêm không steroid (NSAIDs)', 'Thuốc kháng sinh (chỉ khi nghi ngờ nhiễm khuẩn)']"""
"bệnh viêm thanh quản cấp tính,""['Dexamethasone (dạng uống hoặc tiêm bắp)', 'Epinephrine dạng khí dung', 'Không khí được làm ẩm', 'Thuốc hạ sốt', 'Bù nước']"""
"Kinh nguyệt quá nhiều không rõ nguyên nhân,""['Axit tranexamic', 'Thuốc kháng viêm không steroid (ví dụ: axit mefenamic)', 'Thuốc tránh thai đường uống', 'Vòng tránh thai giải phóng levonorgestrel', 'Thuốc bổ sung sắt']"""
"Tổn thương màng nhĩ,""['Thuốc nhỏ tai kháng sinh (nếu bị nhiễm trùng)', 'Thuốc kháng sinh đường uống (nếu cần)', 'Tránh để nước vào tai', 'Thuốc giảm đau (ví dụ: Acetaminophen)', 'Phẫu thuật vá màng nhĩ (nếu thủng màng nhĩ kéo dài)']"""
"Có máu trong nước tiểu (tạm thời hoặc lành tính),""['Liệu pháp bù nước', 'Tránh tập thể dục gắng sức', 'Điều chỉnh thuốc chống đông máu (nếu cần)', 'Theo dõi chức năng thận', 'Trấn an và theo dõi tiếp']"""
"Cảm lạnh thông thường,""['Paracetamol', 'Ibuprofen', 'Thuốc thông mũi (ví dụ: Pseudoephedrine)', 'Thuốc kháng histamine', 'Si rô trị ho (ví dụ: Dextromethorphan)']"""
"Trầm cảm,""['Thuốc SSRI (ví dụ: Sertraline, Escitalopram)', 'Thuốc SNRI (ví dụ: Venlafaxine)', 'Thuốc chống trầm cảm không điển hình (ví dụ: Bupropion)', 'Liệu pháp nhận thức hành vi (CBT)', 'Liệu pháp tâm lý']"""
"Chu kỳ kinh nguyệt không đều không rõ nguyên nhân,""['Thuốc tránh thai kết hợp đường uống', 'Progestin', 'Metformin (nếu liên quan đến PCOS)', 'Thay đổi lối sống', 'Clomiphene (để kích thích rụng trứng)']"""
"Tâm thần phân liệt,""['Thuốc chống loạn thần (ví dụ: Risperidone, Olanzapine)', 'Clozapine (các trường hợp kháng điều trị)', 'Liệu pháp nhận thức hành vi', 'Thuốc tiêm tác dụng kéo dài', 'Hỗ trợ tâm lý xã hội']"""
"Nhiễm trùng huyết,""['Kháng sinh phổ rộng đường tĩnh mạch (ví dụ: Piperacillin-tazobactam)', 'Dịch truyền tĩnh mạch', 'Thuốc co mạch (ví dụ: Norepinephrine)', 'Liệu pháp oxy', 'Kiểm soát nguồn nhiễm trùng (ví dụ: dẫn lưu áp xe)']"""
"Viêm túi mật,""['Kháng sinh đường tĩnh mạch (ví dụ: Ceftriaxone + Metronidazole)', 'Thuốc giảm đau (ví dụ: Morphine)', 'Dịch truyền tĩnh mạch', 'Nhịn ăn uống (không ăn qua đường miệng)', 'Cắt bỏ túi mật (phẫu thuật cắt bỏ túi mật)']"""
"Viêm bàng quang,""['Nitrofurantoin', 'Trimethoprim-sulfamethoxazole', 'Fosfomycin', 'Phenazopyridine (để giảm đau)', 'Bù nước']"""
"Bệnh trĩ,""['Kem bôi hydrocortisone', 'Miếng gạc tẩm chiết xuất cây phỉ', 'Thuốc làm mềm phân (ví dụ: Docusate)', 'Ngâm hậu môn trong bồn tắm', 'Các thủ thuật phẫu thuật (ví dụ: thắt ống dẫn lưu bằng dây cao su)']"""
"Viêm da tiếp xúc,""['Corticosteroid bôi ngoài da (ví dụ: Hydrocortisone)', 'Thuốc kháng histamine đường uống', 'Kem dưỡng ẩm', 'Tránh chất gây dị ứng/kích ứng', 'Corticosteroid đường uống (nếu nặng)']"""
"Nhịp tim chậm xoang,""['Atropine (trường hợp cấp tính)', 'Máy tạo nhịp tim tạm thời hoặc vĩnh viễn (nếu có triệu chứng)', 'Điều chỉnh thuốc (nếu do thuốc gây ra)', 'Truyền Isoproterenol (nếu cần)', 'Theo dõi điện tâm đồ']"""
"Viêm vùng chậu,""['Ceftriaxone + Doxycycline + Metronidazole', 'Thuốc giảm đau', 'Nhập viện (đối với trường hợp nặng)', 'Điều trị cho bạn tình', 'Kiêng quan hệ tình dục trong thời gian điều trị']"""
"Bệnh gan,""['Lactulose (cho bệnh não gan)', 'Thuốc lợi tiểu (ví dụ: Spironolactone)', 'Vitamin K (nếu bị rối loạn đông máu)', 'Axit Ursodeoxycholic', 'Thuốc kháng virus (ví dụ: Tenofovir cho HBV)']"""
"Táo bón mãn tính,""['Thuốc nhuận tràng (ví dụ: Polyethylene glycol)', 'Thuốc làm mềm phân (ví dụ: Docusate)', 'Thuốc bổ sung chất xơ (ví dụ: Psyllium)', 'Thuốc thẩm thấu (ví dụ: Lactulose)', 'Thuốc tăng cường nhu động ruột']"""
"polyp da,""['Liệu pháp lạnh', 'Cắt bỏ bằng dao điện', 'Cắt bỏ bằng thòng lọng', 'Gây tê tại chỗ', 'Giải phẫu bệnh (để loại trừ khối u ác tính)']"""
"Viêm dây thần kinh cánh tay,""['Thuốc kháng viêm không steroid', 'Corticosteroid đường uống', 'Gabapentin hoặc Pregabalin', 'Vật lý trị liệu', 'Kiểm soát cơn đau']"""
"Viêm thực quản,""['Thuốc ức chế bơm proton (ví dụ: Omeprazole)', 'Thuốc chẹn H2 (ví dụ: Ranitidine)', 'Sucralfate', 'Thuốc chống nấm hoặc chống virus (nếu bị nhiễm trùng)', 'Thay đổi chế độ ăn uống']"""
"Viêm túi thừa,""['Thuốc kháng sinh (ví dụ: Ciprofloxacin + Metronidazole)', 'Chế độ ăn lỏng (trong giai đoạn bùng phát)', 'Thuốc giảm đau', 'Chế độ ăn nhiều chất xơ (sau khi hồi phục)', 'Phẫu thuật (nếu có biến chứng)']"""
"bong gân hoặc căng cơ,""['RICE (Nghỉ ngơi, Chườm đá, Băng ép, Nâng cao)', 'Thuốc kháng viêm không steroid (ví dụ: Ibuprofen)', 'Thuốc giãn cơ', 'Vật lý trị liệu', 'Cố định (nếu cần)']"""
"Đau bụng kinh vô căn,""['Thuốc kháng viêm không steroid (ví dụ: Ibuprofen)', 'Thuốc tránh thai đường uống', 'Liệu pháp nhiệt', 'Bổ sung vitamin B1 và ​​magie', 'Hoạt động thể chất']"""
"Rối loạn chức năng ống Eustachian (rối loạn tai),""['Thuốc thông mũi', 'Corticosteroid dạng xịt mũi', 'Tự bơm hơi (ví dụ: nghiệm pháp Valsalva)', 'Thuốc kháng histamine', 'Đặt ống dẫn lưu tai bằng phẫu thuật (trong trường hợp nặng)']"""
"Viêm ruột thừa,""['Phẫu thuật cắt bỏ (Cắt ruột thừa)', 'Kháng sinh trước phẫu thuật (ví dụ: Ceftriaxone + Metronidazole)', 'Kiểm soát cơn đau', 'Truyền dịch tĩnh mạch', 'Nhịn ăn trước phẫu thuật']"""
"chứng nôn nghén nặng,""['Dịch truyền tĩnh mạch và chất điện giải', 'Vitamin B6 (Pyridoxine)', 'Thuốc chống nôn (ví dụ: Ondansetron, Promethazine)', 'Bổ sung Thiamine', 'Hỗ trợ dinh dưỡng (ví dụ: TPN nếu nặng)']"""
"Nhiễm trùng đường tiết niệu,""['Nitrofurantoin', 'Ciprofloxacin', 'Trimethoprim-sulfamethoxazole', 'Thực phẩm bổ sung từ quả nam việt quất', 'Liệu pháp bù nước']"""
"Rối loạn thần kinh ngoại biên,""['Gabapentin', 'Pregabalin', 'Amitriptyline', 'Vật lý trị liệu', 'Axit alpha-lipoic (dưới dạng thực phẩm bổ sung)']"""
"U nang bã nhờn,""['Chườm ấm', 'Rạch và dẫn lưu (nếu bị nhiễm trùng)', 'Kháng sinh (nếu có dấu hiệu nhiễm trùng)', 'Cắt bỏ bằng phẫu thuật', 'Tiêm steroid (nếu bị viêm)']"""
"Sảy thai tự nhiên,""['Misoprostol (để tống xuất hoàn toàn)', 'Mifepristone + Misoprostol (trong một số trường hợp chọn lọc)', 'Nạo và nong cổ tử cung (nếu cần)', 'Globulin miễn dịch Rh (nếu Rh âm tính)', 'Hỗ trợ tinh thần và tư vấn']"""
"Sỏi mật,""['Axit ursodeoxycholic (trong một số trường hợp)', 'Thuốc giảm đau (ví dụ: NSAID)', 'Cắt bỏ túi mật (phẫu thuật)', 'Thuốc kháng sinh (nếu bị viêm túi mật)', 'Thay đổi chế độ ăn uống']"""
"Bệnh đa xơ cứng,""['Interferon beta', 'Glatiramer acetate', 'Natalizumab', 'Corticosteroid (để điều trị các đợt bùng phát)', 'Các liệu pháp điều trị làm thay đổi tiến trình bệnh (ví dụ: Fingolimod)']"""
"Đau thắt ngực,""['Nitroglycerin (dạng ngậm dưới lưỡi)', 'Thuốc chẹn beta', 'Thuốc chẹn kênh canxi', 'Aspirin', 'Thuốc statin']"""
"rối loạn sắc tố da,""['Kem hydroquinone', 'Retinoid bôi ngoài da', 'Axit azelaic', 'Lột da hóa học', 'Liệu pháp laser (đối với các trường hợp kháng thuốc)']"""
"rối loạn nhân cách,""['Liệu pháp tâm lý (ví dụ: DBT cho rối loạn nhân cách ranh giới)', 'Thuốc SSRI (cho các triệu chứng rối loạn tâm trạng)', 'Thuốc ổn định tâm trạng (ví dụ: Lithium)', 'Thuốc chống loạn thần (trong một số trường hợp)', 'Liệu pháp nhóm']"""
"Viêm họng do liên cầu khuẩn,""['Penicillin', 'Amoxicillin', 'Azithromycin (nếu dị ứng với penicillin)', 'Thuốc giảm đau (ví dụ: Acetaminophen)', 'Súc miệng bằng nước muối']"""
"Khuyết tật phát triển,""['Trị liệu ngôn ngữ', 'Trị liệu nghề nghiệp', 'Trị liệu hành vi', 'Thuốc (ví dụ: Risperidone cho chứng cáu gắt ở người tự kỷ)', 'Chương trình giáo dục đặc biệt']"""
"Đau lưng mãn tính,""['Thuốc chống viêm không steroid', 'Thuốc giãn cơ', 'Vật lý trị liệu', 'Tiêm steroid ngoài màng cứng', 'Điều trị đau mãn tính (ví dụ: TENS, châm cứu)']"""
"Suy tim,""['Thuốc ức chế ACE', 'Thuốc chẹn beta', 'Thuốc lợi tiểu quai (ví dụ: Furosemide)', 'Thuốc đối kháng aldosterone (ví dụ: Spironolactone)', 'Digoxin (trong một số trường hợp)']"""
"Viêm kết mạc,""['Thuốc nhỏ mắt kháng sinh (ví dụ: Erythromycin, Moxifloxacin)', 'Thuốc nhỏ mắt kháng virus (ví dụ: Ganciclovir cho bệnh herpes)', 'Thuốc nhỏ mắt bôi trơn', 'Thuốc kháng histamine (cho loại dị ứng)', 'Chườm lạnh']"""
"Thoát vị đĩa đệm,""['Thuốc kháng viêm không steroid', 'Vật lý trị liệu', 'Thuốc giãn cơ', 'Tiêm steroid', 'Phẫu thuật cắt bỏ đĩa đệm (nếu nặng)']"""
"hăm tã,""['Kem oxit kẽm', 'Vaseline', 'Thuốc chống nấm bôi ngoài da (ví dụ: Clotrimazole)', 'Kem Hydrocortisone (ngắn hạn)', 'Thay tã thường xuyên']"""
"Chàm,""['Corticosteroid bôi ngoài da', 'Kem làm mềm/dưỡng ẩm', 'Thuốc kháng histamine (để giảm ngứa)', 'Thuốc ức chế calcineurin (ví dụ: Tacrolimus)', 'Liệu pháp quang học (trong trường hợp nặng)']"""
