Bệnh,Bài tập
Chấn thương vùng thân,"[""""Bài tập tăng cường sức mạnh cơ lõi: Giúp tăng cường cơ bụng/lưng"""", """"Bài tập thở: Giảm đau và căng thẳng"""", """"Đi bộ: Hoạt động nhẹ nhàng giúp cải thiện tuần hoàn máu"""", """"Tránh các động tác vặn xoắn: Giảm nguy cơ tái chấn thương""""]"
Đau âm hộ,"[""""Thư giãn sàn chậu: Tránh căng cứng"""", """"Yoga nhẹ nhàng: Giảm đau vùng chậu"""", """"Kỹ thuật thở: Giúp giảm các cơn đau do căng thẳng"""", """"Tránh đạp xe: Ngăn ngừa áp lực lên vùng nhạy cảm""""]"
Chấn động não,"[""""Nghỉ ngơi: Bước quan trọng nhất lúc đầu"""", """"Giãn cơ nhẹ nhàng: Sau khi các triệu chứng thuyên giảm"""", """"Đi bộ: Hoạt động nhẹ nhàng để phục hồi vận động"""", """"Tránh màn hình và ánh sáng mạnh: Hạn chế mỏi mắt""""]"
Hạ đường huyết,"[""""Đi bộ: Giúp ổn định lượng đường trong máu"""", """"Tập luyện sức mạnh: Xây dựng khối lượng cơ bắp để hỗ trợ sử dụng glucose"""", """"Tránh tập luyện khi đói: Luôn ăn trước khi tập"""", """"Nghỉ giải lao thường xuyên: Theo dõi lượng đường trong máu trong khi hoạt động""""]"
Thoát vị hoành,"[""""Tránh gập bụng: Ngăn ngừa áp lực lên vùng bụng"""", """"Đi bộ hoặc đạp xe nhẹ nhàng: Hỗ trợ tiêu hóa"""", """"Bài tập thở: Cải thiện khả năng kiểm soát cơ hoành"""", """"Tư thế thẳng đứng: Trong và sau khi tập thể dục""""]"
Dị ứng,"[""""Tập thể dục trong nhà: Tránh phấn hoa và các tác nhân gây dị ứng"""", """"Yoga: Làm dịu cơ thể và hệ miễn dịch"""", """"Bơi trong hồ bơi sạch: Làm thông thoáng đường thở"""", """"Tránh tập thể dục ở nơi ô nhiễm cao: Bảo vệ sức khỏe đường hô hấp""""]"
Co thắt phế quản cấp tính,"[""""Nghỉ ngơi cho đến khi ổn định: Tránh gắng sức trong những đợt bùng phát"""", """"Bài tập thở: Tăng cường cơ hô hấp"""", """"Giãn cơ nhẹ nhàng: Thúc đẩy lưu thông oxy"""", """"Đi bộ trong nhà: Trong môi trường được kiểm soát""""]"
Bệnh thoái hóa đĩa đệm,"[""""Bài tập giãn cơ lưng: Tăng tính linh hoạt"""", """"Tăng cường cơ lõi: Giảm áp lực lên cột sống"""", """"Bài tập aerobic cường độ thấp: Đi bộ hoặc sử dụng máy tập elip"""", """"Tránh nâng vật nặng: Ngăn ngừa các triệu chứng trở nặng""""]"
Đau sau phẫu thuật,"[""""Vật lý trị liệu có hướng dẫn: Quá trình phục hồi an toàn"""", """"Hít thở sâu: Ngăn ngừa các biến chứng về phổi sau phẫu thuật"""", """"Đi bộ chậm: Cải thiện tuần hoàn máu"""", """"Tránh các hoạt động cường độ cao: Cho phép phục hồi hoàn toàn""""]"
Chấn thương ở chân,"[""""Bài tập không chịu trọng lượng: Như bơi lội hoặc các bài tập giãn cơ khi ngồi"""", """"Bài tập tăng phạm vi chuyển động: Ngăn ngừa cứng khớp"""", """"Bài tập tăng cường sức mạnh: Sau khi quá trình hồi phục bắt đầu"""", """"Bài tập giữ thăng bằng: Giảm nguy cơ té ngã về sau""""]"
Bệnh gout,"[""""Bài tập cường độ thấp: Như đạp xe hoặc bơi lội"""", """"Bài tập vận động khớp: Giữ cho khớp linh hoạt"""", """"Tránh chịu trọng lượng lớn: Trong thời gian bùng phát bệnh"""", """"Giãn cơ: Giảm độ cứng ở các vùng bị ảnh hưởng""""]"
Viêm tai giữa,"[""""Nghỉ ngơi: Đặc biệt trong giai đoạn cấp tính"""", """"Tránh bơi lội: Ngăn nước tiếp xúc với tai"""", """"Đi bộ nhẹ nhàng: Nếu có đủ sức"""", """"Các bài tập giãn cơ cổ: Giảm áp lực trong ống tai""""]"
Tổn thương thận cấp tính,"[""""Hoạt động nhẹ nhàng: Ví dụ như đi bộ trong thời gian hồi phục"""", """"Tránh mất nước: Ưu tiên bổ sung nước khi tập luyện"""", """"Tập luyện sức mạnh: Chỉ khi chức năng thận ổn định"""", """"Tập luyện dưới sự giám sát: Theo dõi các chỉ số sinh tồn""""]"
Dọa sẩy thai,"[""""Nghỉ ngơi tại giường theo chỉ định của bác sĩ"""", """"Bài tập thở: Giảm lo âu"""", """"Bài tập sàn chậu (Kegel): An toàn cho việc hỗ trợ vùng chậu"""", """"Tránh các bài tập cường độ cao: Ngăn ngừa biến chứng""""]"
Bệnh về nướu,"[""""Tập trung vào vệ sinh răng miệng: Đánh răng và dùng chỉ nha khoa thường xuyên"""", """"Tránh đồ uống thể thao có đường: Ngăn ngừa sự phát triển của vi khuẩn"""", """"Uống đủ nước: Hỗ trợ sức khỏe nướu"""", """"Không có hạn chế cụ thể về hoạt động thể chất: Tuân theo kế hoạch chăm sóc sức khỏe tổng quát""""]"
Xuất huyết đường tiêu hóa,"[""""Nghỉ ngơi: Tránh các hoạt động gắng sức trong thời gian chảy máu tích cực"""", """"Bài tập thở: Giảm căng thẳng cho hệ tiêu hóa"""", """"Đi bộ nhẹ nhàng: Chỉ sau khi tình trạng ổn định"""", """"Tránh căng bụng: Ngăn ngừa chảy máu tái phát""""]"
Rối loạn lo âu,"[""""Yoga: Kết hợp vận động và chánh niệm"""", """"Bài tập thở: Kiểm soát các triệu chứng sinh lý"""", """"Đi bộ trong thiên nhiên: Làm dịu tâm trí"""", """"Thái cực quyền: Cải thiện sự cân bằng tinh thần và cảm xúc""""]"
Viêm kết mạc do dị ứng,"[""""Tập thể dục trong nhà: Tránh các chất gây dị ứng như phấn hoa"""", """"Yoga nhẹ nhàng: Tránh chạm vào mặt"""", """"Giãn cơ: Tránh mỏi mắt"""", """"Tránh bơi lội: Ngăn ngừa kích ứng mắt""""]"
Phản ứng thuốc,"[""""Nghỉ ngơi: Trong khi hồi phục sau các phản ứng bất lợi"""", """"Vận động nhẹ nhàng: Sau khi ổn định"""", """"Bài tập thở: Làm dịu phản ứng căng thẳng"""", """"Tránh tiếp xúc với ánh nắng mặt trời: Nếu đang dùng thuốc nhạy cảm với ánh sáng""""]"
Thoái hóa điểm vàng,"[""""Luyện tập giữ thăng bằng: Ngăn ngừa té ngã do thay đổi thị lực"""", """"Đi bộ: Cải thiện tuần hoàn máu và sức khỏe mắt"""", """"Đạp xe trong nhà: An toàn cho người có thị lực hạn chế"""", """"Tránh các chuyển động nhanh: Ngăn ngừa chấn thương""""]"
Viêm phổi,"[""""Nghỉ ngơi: Quan trọng trong giai đoạn nhiễm trùng cấp tính"""", """"Bài tập thở: Cải thiện khả năng giãn nở của phổi"""", """"Đi bộ nhẹ nhàng: Sau khi hết sốt"""", """"Tái khởi động hoạt động thể chất dần dần: Để tăng sức bền""""]"
U nang âm đạo,"[""""Bài tập sàn chậu: Hỗ trợ vùng chậu và giảm khó chịu"""", """"Tránh các môn thể thao cường độ cao: Ngăn ngừa kích ứng"""", """"Đi bộ: Hoạt động nhẹ nhàng và an toàn"""", """"Bài tập thở: Thúc đẩy sự thư giãn toàn thân""""]"
Hội chứng ống cổ tay,"[""""Bài tập giãn cơ cổ tay: Giảm áp lực lên dây thần kinh"""", """"Bài tập tăng cường sức mạnh bàn tay: Sử dụng bột nhão hoặc dây thun"""", """"Tránh căng thẳng do vận động lặp đi lặp lại: Điều chỉnh hoạt động"""", """"Yoga: Giúp cải thiện tư thế và sức khỏe thần kinh""""]"
Rối loạn mũi,"[""""Kỹ thuật thở: Tập trung vào thở bằng mũi"""", """"Đạp xe trong nhà: Giảm tác động lên áp lực vùng mặt"""", """"Tránh các tư thế lộn ngược: Ngăn ngừa áp lực xoang"""", """"Tập cardio nhẹ nhàng: Tránh không khí khô và bụi""""]"
Sâu răng,"[""""Tập trung vào việc cung cấp đủ nước: Uống nước trong khi tập thể dục để giảm axit"""", """"Tránh đồ uống có đường: Trong khi tập luyện"""", """"Tập luyện thường xuyên: Hỗ trợ sức khỏe răng miệng tổng thể"""", """"Không thực hiện các hoạt động mạnh với hàm: Ngăn ngừa tổn thương thêm""""]"
Bệnh tim do tăng huyết áp,"[""""Đi bộ: Ít tác động và tốt cho tim mạch"""", """"Bơi lội: Hoạt động tim mạch tuyệt vời"""", """"Kỹ thuật thở: Giảm sự tăng đột biến do căng thẳng"""", """"Tránh nâng vật nặng: Ngăn ngừa huyết áp tăng cao""""]"
Dị ứng theo mùa (sốt cỏ khô),"[""""Tập luyện trong nhà: Tránh tiếp xúc với phấn hoa"""", """"Yoga: Điều chỉnh phản ứng miễn dịch và căng thẳng"""", """"Đi bộ trên máy chạy bộ: Bài tập tim mạch an toàn cho người bị dị ứng"""", """"Đeo khẩu trang khi ra ngoài: Nếu đi bộ ngoài trời""""]"
Nhiễm nấm tóc,"[""""Tránh dùng chung thiết bị tập gym: Ngăn ngừa lây lan"""", """"Yoga trong nhà: Tránh môi trường nhiều mồ hôi"""", """"Giữ khô da đầu sau khi tập luyện: Ngăn ngừa nấm phát triển"""", """"Các hoạt động ít đổ mồ hôi: Giảm độ ẩm""""]"
Rối loạn trực tràng,"[""""Đi bộ: Hỗ trợ tiêu hóa và tuần hoàn"""", """"Bài tập sàn chậu: Tăng cường hỗ trợ trực tràng"""", """"Tránh đạp xe: Ngăn ngừa kích ứng"""", """"Yoga nhẹ nhàng: Tập trung vào tư thế và hơi thở""""]"
Mụn lẹo,"[""""Tránh bơi lội: Ngăn ngừa tiếp xúc với vi khuẩn"""", """"Tập luyện cường độ thấp: Tránh dụi mắt hoặc căng mắt"""", """"Rửa mặt sau khi tập luyện: Ngăn ngừa nhiễm trùng"""", """"Tránh tập yoga nóng: Có thể làm tình trạng sưng tấy trầm trọng hơn""""]"
Đau tim,"[""""Phục hồi chức năng tim mạch: Chương trình có sự giám sát của bác sĩ"""", """"Đi bộ: Bài tập được khuyến nghị nhiều nhất ở giai đoạn đầu"""", """"Đạp xe tại chỗ: Bài tập tim mạch cường độ thấp"""", """"Tránh tập luyện cường độ cao: Cho đến khi được bác sĩ cho phép""""]"
Ngưng thở khi ngủ do tắc nghẽn đường thở (OSA),"[""""Bài tập kiểm soát cân nặng: Đi bộ, bơi lội"""", """"Luyện thở: Tăng cường cơ đường thở"""", """"Yoga: Cải thiện hơi thở và chất lượng giấc ngủ"""", """"Tránh tập luyện khuya: Ngăn ngừa rối loạn giấc ngủ""""]"
Bệnh vẩy nến,"[""""Bơi trong nước mặn: Có thể làm dịu da"""", """"Hoạt động thể dục nhịp điệu vừa phải: Hỗ trợ hệ miễn dịch"""", """"Tập giãn cơ và yoga: Nhẹ nhàng cho da"""", """"Tránh môi trường nóng/đổ mồ hôi: Ngăn ngừa bùng phát""""]"
Viêm khớp háng,"[""""Thể dục nhịp điệu dưới nước: Tác động nhẹ lên khớp"""", """"Giãn cơ: Duy trì sự linh hoạt của hông"""", """"Đi bộ có hỗ trợ: Sử dụng gậy nếu cần"""", """"Tập luyện sức mạnh: Xây dựng cơ bắp hỗ trợ xung quanh khớp""""]"
Khủng hoảng hồng cầu hình liềm,"[""""Nghỉ ngơi: Tránh căng thẳng thể chất trong lúc khủng hoảng"""", """"Tập trung vào việc bổ sung nước: Cần thiết trong và sau khi tập luyện"""", """"Giãn cơ nhẹ: Khi đã ổn định"""", """"Tránh độ cao: Ngăn ngừa giảm lượng oxy""""]"
Viêm tai ngoài,"[""""Tránh bơi lội: Cho đến khi lành hẳn"""", """"Đi bộ: Di chuyển nhẹ nhàng, an toàn"""", """"Đạp xe trong nhà: Tránh tiếp xúc với độ ẩm"""", """"Bảo vệ tai: Sử dụng nút bịt tai khô trong khi tập luyện""""]"
Viêm tiểu phế quản cấp tính,"[""""Nghỉ ngơi khi ốm: Tránh mọi hoạt động gắng sức"""", """"Liệu pháp thở: Phục hồi sức mạnh phổi"""", """"Đi bộ nhẹ nhàng: Chỉ sau khi hồi phục hoàn toàn"""", """"Tránh những nơi bụi bặm hoặc ô nhiễm: Bảo vệ đường thở""""]"
Nhiễm trùng da mủ,"[""""Tránh sử dụng chung thiết bị tập gym: Ngăn ngừa lây lan"""", """"Không bơi lội: Cho đến khi được phép"""", """"Tập giãn cơ tại nhà: Tránh đổ mồ hôi lên vùng da bị nhiễm bệnh"""", """"Sử dụng khăn sạch: Vệ sinh là điều quan trọng""""]"
Viêm dạ dày ruột không do nhiễm trùng,"[""""Đi bộ nhẹ nhàng: Chỉ sau khi bù nước"""", """"Nghỉ ngơi: Trong các triệu chứng cấp tính"""", """"Tránh gây căng thẳng vùng bụng: Ngăn ngừa khó chịu"""", """"Tập trung vào việc bù nước: Bổ sung chất điện giải""""]"
Tăng sản tuyến tiền liệt lành tính (BPH),"[""""Bài tập sàn chậu: Cải thiện khả năng kiểm soát tiểu tiện"""", """"Đi bộ: Thúc đẩy sức khỏe bàng quang"""", """"Tránh đạp xe: Có thể làm trầm trọng thêm các triệu chứng"""", """"Giãn cơ: Giảm căng thẳng vùng chậu""""]"
Hẹp ống sống,"[""""Bài tập gập duỗi: Giảm áp lực lên cột sống"""", """"Đạp xe tại chỗ: Giảm căng thẳng vùng lưng dưới"""", """"Liệu pháp thủy trị liệu: Hỗ trợ nổi"""", """"Tránh các bài tập uốn cong hoặc duỗi thẳng: Ngăn ngừa kích thích thần kinh""""]"
Viêm phế quản cấp tính,"[""""Bài tập thở: Hỗ trợ phục hồi"""", """"Nghỉ ngơi: Cần thiết trong giai đoạn ho"""", """"Đi bộ: Dần dần khôi phục hoạt động"""", """"Tránh tập thể dục trong không khí lạnh: Ngăn ngừa co thắt đường thở""""]"
bệnh viêm thanh quản cấp tính,"[""""Nghỉ ngơi: Cho đến khi tình trạng thở được cải thiện"""", """"Hít hơi nước: Giúp thông thoáng đường thở"""", """"Tránh gắng sức: Có thể làm trầm trọng thêm các triệu chứng"""", """"Chơi nhẹ nhàng: Trong nhà và thư giãn sau khi hồi phục""""]"
Kinh nguyệt quá nhiều không rõ nguyên nhân,"[""""Yoga: Giảm đau bụng kinh và chảy máu"""", """"Đi bộ: Vận động nhẹ nhàng"""", """"Bài tập sàn chậu: Hỗ trợ cơ quan sinh sản"""", """"Tránh tập cardio cường độ cao: Ngăn ngừa triệu chứng trở nặng""""]"
Tổn thương màng nhĩ,"[""""Tránh bơi lội và các môn thể thao dưới nước"""", """"Đi bộ: An toàn và ít tác động"""", """"Giãn cơ: Tránh tư thế cúi đầu"""", """"Bảo vệ tai khỏi nhạc lớn/các môn thể thao mạnh""""]"
Có máu trong nước tiểu (tạm thời hoặc lành tính),"[""""Đi bộ: Giảm áp lực lên thận"""", """"Uống nước trước và sau khi tập luyện: Hỗ trợ sức khỏe đường tiết niệu"""", """"Tránh nâng vật nặng: Ngăn ngừa áp lực bên trong"""", """"Giãn cơ nhẹ nhàng: Hỗ trợ tuần hoàn""""]"
Cảm lạnh thông thường,"[""""Nghỉ ngơi: Cần thiết trong giai đoạn cấp tính"""", """"Yoga nhẹ nhàng: Sau khi hết sốt"""", """"Đi bộ: Khi đã hồi phục sức lực"""", """"Bài tập thở: Giúp thông thoáng đường thở""""]"
Trầm cảm,"[""""Tập thể dục nhịp điệu: Cải thiện tâm trạng nhờ endorphin"""", """"Yoga: Cân bằng tâm trí và cơ thể"""", """"Hoạt động nhóm: Tăng cường động lực"""", """"Đi bộ trong thiên nhiên: Được chứng minh là giúp giảm các triệu chứng""""]"
Chu kỳ kinh nguyệt không đều không rõ nguyên nhân,"[""""Tập luyện aerobic vừa phải: Điều hòa hormone"""", """"Yoga: Cân bằng chức năng nội tiết"""", """"Tập luyện sức mạnh: Cải thiện sức khỏe trao đổi chất"""", """"Tránh tập thể dục quá mức: Có thể làm rối loạn chu kỳ""""]"
Tâm thần phân liệt,"[""""Tập luyện nhóm có cấu trúc: Thúc đẩy tương tác xã hội"""", """"Đi bộ hoặc chạy bộ: Tăng cường các chất hóa học trong não"""", """"Thái cực quyền: Cải thiện sự tập trung và sự bình tĩnh"""", """"Tránh quá tải giác quan: Chọn môi trường yên tĩnh""""]"
Nhiễm trùng huyết,"[""""Nghỉ ngơi và phục hồi chức năng: Sau giai đoạn cấp tính"""", """"Đi bộ nhẹ nhàng: Tái tạo dần dần"""", """"Vật lý trị liệu: Khôi phục sức mạnh"""", """"Tránh gắng sức quá mức: Quá trình phục hồi có thể kéo dài""""]"
Viêm túi mật,"[""""Vận động nhẹ nhàng: Sau khi tình trạng viêm giảm"""", """"Tránh các bữa ăn nhiều chất béo trước khi tập luyện"""", """"Đi bộ: Cải thiện tiêu hóa"""", """"Tránh căng cơ bụng: Ngăn ngừa áp lực lên túi mật""""]"
Viêm bàng quang,"[""""Đi bộ: An toàn và tốt cho bàng quang"""", """"Tập trung vào việc bổ sung nước: Trước và sau khi tập"""", """"Bài tập sàn chậu: Cải thiện khả năng kiểm soát"""", """"Tránh các bài tập gây mất nước""""]"
Bệnh trĩ,"[""""Đi bộ: Giảm áp lực lên tĩnh mạch trực tràng"""", """"Bài tập Kegel: Cải thiện lưu thông máu"""", """"Tránh nâng vật nặng: Ngăn ngừa các đợt bùng phát"""", """"Yoga nhẹ nhàng: Đặc biệt là các tư thế tốt cho vùng chậu""""]"
Viêm da tiếp xúc,"[""""Tránh đổ mồ hôi nhiều: Có thể gây kích ứng da"""", """"Tập giãn cơ trong nhà: Mát mẻ và khô ráo"""", """"Mặc quần áo thoáng khí: Trong khi tập luyện"""", """"Làm sạch da sau khi tập thể dục: Ngăn ngừa bùng phát""""]"
Nhịp tim chậm xoang,"[""""Hoạt động aerobic nhẹ: Đi bộ hoặc đạp xe chậm"""", """"Khởi động và giãn cơ: Cần thiết để tránh chóng mặt"""", """"Bài tập thở: Hỗ trợ nhịp tim"""", """"Tránh gắng sức quá mức: Theo dõi nhịp tim""""]"
Viêm vùng chậu,"[""""Tăng cường cơ sàn chậu: Hỗ trợ phục hồi"""", """"Đi bộ: Hỗ trợ tuần hoàn máu"""", """"Tránh các môn thể thao cường độ cao: Ngăn ngừa khó chịu"""", """"Yoga nhẹ nhàng: Các động tác thân thiện với vùng chậu""""]"
Bệnh gan,"[""""Đi bộ: Thúc đẩy tuần hoàn gan"""", """"Tránh các bài tập thể dục gắng sức: Có thể làm tăng mệt mỏi"""", """"Tập luyện sức mạnh (nhẹ): Tăng khối lượng cơ bắp"""", """"Tránh môi trường có đồ uống có cồn (phòng tập thể dục có quầy bar, v.v.): Giữ an toàn""""]"
Táo bón mãn tính,"[""""Đi bộ: Kích thích nhu động ruột"""", """"Yoga: Hỗ trợ tiêu hóa"""", """"Các bài tập giãn cơ tập trung vào vùng bụng: Kích hoạt nhẹ nhàng vùng bụng"""", """"Uống nước trước và sau khi tập luyện: Hỗ trợ quan trọng""""]"
polyp da,"[""""Tránh các bài tập dễ gây ma sát: Ngăn ngừa kích ứng"""", """"Mặc quần áo mềm mại, không gây cọ xát"""", """"Tập yoga nhẹ nhàng hoặc đi bộ"""", """"Theo dõi bất kỳ thay đổi nào trong quá trình tập luyện""""]"
Viêm dây thần kinh cánh tay,"[""""Bài tập vận động khớp: Khôi phục khả năng vận động khớp vai"""", """"Tập luyện kháng lực nhẹ: Dưới sự hướng dẫn của vật lý trị liệu"""", """"Tránh nâng vật nặng qua đầu"""", """"Kiểm soát cơn đau bằng các bài tập kéo giãn có hướng dẫn""""]"
Viêm thực quản,"[""""Tránh các bài tập cường độ cao sau bữa ăn"""", """"Đi bộ: Hỗ trợ tiêu hóa nhẹ nhàng"""", """"Bài tập thở: Giảm trào ngược"""", """"Không gập bụng hoặc tạo áp lực lên vùng bụng""""]"
Viêm túi thừa,"[""""Nghỉ ngơi: Trong giai đoạn cấp tính"""", """"Đi bộ: Nhẹ nhàng và dễ tiêu hóa"""", """"Tránh nâng tạ nặng: Ngăn ngừa căng cơ bụng"""", """"Hỗ trợ bổ sung nước trong và sau khi tập luyện""""]"
bong gân hoặc căng cơ,"[""""Ưu tiên phương pháp RICE (nghỉ ngơi, chườm đá, băng ép, nâng cao)"""", """"Các bài tập vận động nhẹ nhàng: Sau khi cơn đau giảm"""", """"Tránh tái chấn thương: Sử dụng dụng cụ hỗ trợ nếu cần"""", """"Tập luyện sức mạnh tập trung vào phục hồi chức năng""""]"
Đau bụng kinh vô căn,"[""""Yoga: Đặc biệt là tư thế em bé và tư thế vặn mình nằm ngửa"""", """"Đi bộ: Giúp giảm chuột rút"""", """"Chườm nóng sau khi tập luyện: Giảm đau"""", """"Tránh các bài tập cường độ cao khi cơn đau dữ dội""""]"
Rối loạn chức năng ống Eustachian (Rối loạn tai),"[""""Tránh thay đổi áp suất: Không chơi thể thao dưới nước hoặc trên không"""", """"Bài tập thở và hàm: Thúc đẩy quá trình dẫn lưu"""", """"Yoga nhẹ nhàng: Tránh tư thế trồng cây chuối"""", """"Đi bộ: Thoải mái, áp suất thấp""""]"
Viêm ruột thừa,"[""""Nghỉ ngơi hoàn toàn sau phẫu thuật"""", """"Vật lý trị liệu: Nếu có phẫu thuật"""", """"Đi bộ: Bắt đầu dần dần"""", """"Tránh các bài tập bụng cho đến khi được bác sĩ cho phép""""]"
chứng nôn nghén nặng,"[""""Đi bộ nhẹ nhàng: Nếu có thể chịu được"""", """"Yoga cho bà bầu: Giúp kiểm soát buồn nôn"""", """"Tránh các chuyển động nhanh: Ngăn ngừa các triệu chứng kích hoạt"""", """"Uống nước thường xuyên là điều cần thiết""""]"
Nhiễm trùng đường tiết niệu,"[""""Đi bộ: Hoạt động nhẹ nhàng an toàn trong trường hợp nhiễm trùng nhẹ"""", """"Tránh các bài tập gây áp lực lên bàng quang"""", """"Các bài tập tập trung vào việc bổ sung nước"""", """"Bài tập sàn chậu: Tăng cường khả năng kiểm soát tiểu tiện""""]"
Rối loạn thần kinh ngoại biên,"[""""Luyện tập thăng bằng: Ngăn ngừa té ngã"""", """"Vật lý trị liệu: Phục hồi chức năng thần kinh có hướng dẫn"""", """"Kéo giãn cơ: Duy trì sự linh hoạt"""", """"Bơi lội: Bài tập toàn thân cường độ thấp""""]"
U nang bã nhờn,"[""""Tránh tạo áp lực hoặc ma sát lên u nang"""", """"Các hoạt động ít đổ mồ hôi: Ngăn ngừa kích ứng"""", """"Đi bộ hoặc tập yoga: Mặc quần áo không gây cọ xát"""", """"Tránh đội mũ bảo hiểm nếu u nang ở trên da đầu""""]"
